Rule Key,Description,Type,Severity,Tags,Old (pre 2024.12.0) Keys,,,,,,
findbugs:EQ_ALWAYS_TRUE,Correctness - equals method always returns true,Bug,Major,correctness,,,,,,,
findbugs:IL_INFINITE_LOOP,Correctness - An apparent infinite loop,Bug,Major,correctness,,,,,,,
findbugs:IS2_INCONSISTENT_SYNC,Multi-threading - Inconsistent synchronization,Bug,Major,multi-threading,,,,,,,
findbugs:VO_VOLATILE_INCREMENT,Multi-threading - An increment to a volatile field isn't atomic,Bug,Major,multi-threading,,,,,,,
java:S1111,The Object.finalize() method should not be called,Bug,Major,"cert,cwe",squid:ObjectFinalizeCheck,,,,,,
java:S1217,"""Thread.run()"" should not be called directly",Bug,Major,"cert,cwe,multi-threading",squid:S1217,,,,,,
java:S1872,Classes should not be compared by name,Bug,Major,"cert,cwe",squid:S1872,,,,,,
java:S2159,Silly equality checks should not be made,Bug,Major,"cert,unused",squid:S2159,,,,,,
java:S2225,"""toString()"" and ""clone()"" methods should not return null",Bug,Major,"cert,cwe",squid:S2225,,,,,,
java:S2226,Servlets should not have mutable instance fields,Bug,Major,"cert,multi-threading,struts",squid:S2226,,,,,,
java:S2259,Null pointers should not be dereferenced,Bug,Major,"cert,cwe",squid:S2259,,,,,,
java:S2273,"""wait"", ""notify"" and ""notifyAll"" should only be called when a lock is obviously held on an object",Bug,Major,multi-threading,squid:S2273,,,,,,
java:S2445,"Blocks should be synchronized on ""private final"" fields",Bug,Major,"cert,cwe,multi-threading",squid:S2445,,,,,,
java:S2583,Conditionally executed code should be reachable,Bug,Major,"cert,cwe,pitfall,suspicious,unused",squid:S2583,,,,,,
java:S2583,Conditionally executed code should be reachable,Bug,Major,"cert,cwe,pitfall,suspicious,unused",squid:S1145,,,,,,
java:S2885,Non-thread-safe fields should not be static,Bug,Major,multi-threading,squid:S2885,,,,,,
java:S3655,Optional value should only be accessed after calling isPresent(),Bug,Major,cwe,squid:S3655,,,,,,
PackageOverlaps,Customer packages should not overlap,Bug,Major,,,,,,,,
ClientlibProxyResource,Resources Contained in Proxy-Enabled Client Libraries Should Be in a folder named resources,Bug,Minor,aem,,,,,,,
java:S1206,"""equals(Object obj)"" and ""hashCode()"" should be overridden in pairs",Bug,Minor,"cert,cwe",squid:S1206,,,,,,
java:S2184,Math operands should be cast before assignment,Bug,Minor,aem,squid:S2184,,,,,,
java:S899,Return values should not be ignored when they contain the operation status code,Bug,Minor,"cert,cwe,error-handling",squid:S899,,,,,,
java:S1147,Exit methods should not be called,Code Smell,Blocker,"cert,cwe,suspicious",squid:S1147,,,,,,
java:S128,"Switch cases should end with an unconditional ""break"" statement",Code Smell,Blocker,"cert,cwe,suspicious",squid:S128,,,,,,
java:S2178,Short-circuit logic should be used in boolean contexts,Code Smell,Blocker,cert,squid:S2178,,,,,,
AEM Rules:AEM-6,ResourceResolver should be closed in finally block.,Code Smell,Critical,aem,,,,,,,
AEM Rules:AEM-7,Session should be logged out in finally block.,Code Smell,Critical,aem,,,,,,,
java:S1174,"""Object.finalize()"" should remain protected (versus public) when overriding",Code Smell,Critical,"cert,cwe",squid:S1174,,,,,,
java:S131,"""switch"" statements should have ""default"" clauses",Code Smell,Critical,"cert,cwe",squid:SwitchLastCaseIsDefaultCheck,,,,,,
java:S1948,"Fields in a ""Serializable"" class should either be transient or serializable",Code Smell,Critical,"cwe,serialization",squid:S1948,,,,,,
java:S888,"Equality operators should not be used in ""for"" loop termination conditions",Code Smell,Critical,"cert,cwe,suspicious",squid:S888,,,,,,
AEM Rules:AEM-11,Do not use deprecated administrative access methods,Code Smell,Major,aem,,,,,,,
CQRules:AEMSRE-889,HttpClient Proxy Configuration,Code Smell,Major,cqsoftwarequality,,,,,,,
CQRules:CQBP-72,close() method is not called on ResourceResolver object,Code Smell,Major,cqsoftwarequality,,,,,,,
CQRules:CQBP-75,Do not use Sling servlet paths to register servlet,Code Smell,Major,cqsoftwarequality,,,,,,,
DOTRules:Disp-1---ignoreUrlParams-allow-list,The Dispatcher publish farm cache should have its ignoreUrlParams rules configured in an allow list manner.,Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Disp-2---statfileslevel,The Dispatcher publish farm cache statfileslevel property should be >= 2.,Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Disp-3---gracePeriod,The Dispatcher publish farm gracePeriod property should be >= 2.,Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Disp-4---default-filter-deny-rules,The Dispatcher publish farm filters should contain the default `deny` rules from the 6.x.x version of the AEM archetype.,Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Disp-5---serveStaleOnError,The Dispatcher publish farm cache should have serveStaleOnError enabled.,Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Disp-6---suffix-allow-list,The Dispatcher publish farm filters should specify the allowed Sling suffix patterns in an allow list manner.,Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Disp-7---selector-allow-list,The Dispatcher publish farm filters should specify the allowed Sling selectors in an allow list manner.,Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Disp-8---unique-farm-name,Each Dispatcher farm should have a unique name.,Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Disp-S1---brace-missing,Each <section name> must begin with a '{' character.,Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Disp-S2---token-unexpected,"Skipping unknown top level token.  Token=""<misplaced token>""",Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Disp-S3---quote-unmatched,"Unmatched quote ("").  Line=""<line details>""",Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Disp-S4---brace-unclosed,Unclosed brace encountered.,Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Disp-S5---mandatory-missing,<section name> is missing mandatory '<property name>' value.,Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Disp-S6---property-deprecated,<property name> is deprecated.,Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Disp-S7---no-dispatcher-config,Could not find Dispatcher configuration file.,Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Httpd-1---require-all-granted,The 'Require all granted' directive should not be used in a VirtualHost Directory section with a root directory-path.,Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Httpd-S1---include-failed,"Include directive must include existing files.  Check path, or use IncludeOptional.",Code Smell,Major,"beta,dispatcher",,,,,,,
DOTRules:Syntax0---syntax-violation,Syntax issue encountered.,Code Smell,Major,"beta,dispatcher",,,,,,,
java:S112,Generic exceptions should never be thrown,Code Smell,Major,"cert,cwe,error-handling",squid:S00112,,,,,,
java:S1121,Assignments should not be made from within sub-expressions,Code Smell,Major,"cert,cwe,suspicious",squid:AssignmentInSubExpressionCheck,,,,,,
java:S1134,"Track uses of ""FIXME"" tags",Code Smell,Major,cwe,squid:S1134,,,,,,
java:S1181,Throwable and Error should not be caught,Code Smell,Major,"bad-practice,cert,cwe,error-handling",squid:S1181,,,,,,
java:S1696,"""NullPointerException"" should not be caught",Code Smell,Major,"cert,cwe,error-handling",squid:S1696,,,,,,
java:S1854,Unused assignments should be removed,Code Smell,Major,"cert,cwe,unused",squid:S1854,,,,,,
java:S2112,"""URL.hashCode"" and ""URL.equals"" should be avoided",Code Smell,Major,performance,squid:S2112,,,,,,
java:S2442,"""Lock"" objects should not be ""synchronized""",Code Smell,Major,"cert,clumsy,multi-threading",squid:S2442,,,,,,
java:S2589,Boolean expressions should not be gratuitous,Code Smell,Major,"cert,cwe,redundant,suspicious",squid:S1850,,,,,,
java:S2681,Multiline blocks should be enclosed in curly braces,Code Smell,Major,"cert,cwe",squid:S2681,,,,,,
java:S864,Limited dependence should be placed on operator precedence,Code Smell,Major,"cert,cwe",squid:S864,,,,,,
AEM Rules:AEM-1,Use predefined constant in annotation instead of hardcoded value.,Code Smell,Minor,aem,,,,,,,
AEM Rules:AEM-16,Optional is defined as DefaultInjectionStrategy,Code Smell,Minor,"aem,sling-models",,,,,,,
AEM Rules:AEM-2,Use predefined constant instead of hardcoded value.,Code Smell,Minor,aem,,,,,,,
ClassicUIAuthoringMode,Default Authoring Mode Should Not Be Classic UI,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
CloudServiceIncompatibleWorkflowProcess,Usage of Cloud Service Incompatible Workflow Processes,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
ComponentWithOnlyClassicUIDialog,Components With Dialogs Should Have Touch UI Dialogs,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
CQRules:AMSCORE-553,AEM Deprecated APIs Should Not Be Used,Code Smell,Minor,cqcompatibility,,,,,,,
CQRules:AMSCORE-554,Sling Scheduler Should Not Be Used,Code Smell,Minor,cqcompatibility,,,,,,,
CQRules:CQBP-44---CatchAndEitherLogOrThrow,Catch and either log or throw the error. Do not do both,Code Smell,Minor,cqsoftwarequality,,,,,,,
CQRules:CQBP-44---ConsecutivelyLogAndThrow,Avoid having a log statement immediately followed by a throw statement,Code Smell,Minor,cqsoftwarequality,,,,,,,
CQRules:CQBP-44---ExceptionGetMessageIsFirstLogParam,Do not use Exception.getMessage() as the first parameter of the Logger.log statement,Code Smell,Minor,cqsoftwarequality,,,,,,,
CQRules:CQBP-44---ExceptionPrintStackTrace,Do not use Exception.printStackTrace() to print to console,Code Smell,Minor,cqsoftwarequality,,,,,,,
CQRules:CQBP-44---LogInfoInGetOrHeadRequests,Do not log with INFO level in GET or HEAD request handlers,Code Smell,Minor,cqsoftwarequality,,,,,,,
CQRules:CQBP-44---LowLevelConsolePrinters,Do not use low level console printers,Code Smell,Minor,cqsoftwarequality,,,,,,,
CQRules:CQBP-44---WrongLogLevelInCatchBlock,"In catch blocks, you should only log WARN or ERROR messages",Code Smell,Minor,cqsoftwarequality,,,,,,,
CQRules:CQBP-71,Do not hardcode paths using String literals,Code Smell,Minor,cqsoftwarequality,,,,,,,
CQRules:GRANITE-54181,Thread interruption check,Code Smell,Minor,cqsecurity,,,,,,,
ImmutableMutableMixedPackage,Packages Should Not Mix Mutable and Immutable Content,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
IndexCompatVersion,Custom Search Index Definition Nodes Must Have a compatVersion of 2,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
IndexDescendantNodeType,Descendent Nodes of Custom Search Index Definition Nodes Must Be Of Type nt:unstructured,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
IndexName,Custom Search Index Definition Nodes Must Follow Naming Conventions,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
IndexReindexProperty,Custom Search Index Definition Nodes Must Not Contain a Property Named reindex,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
IndexRulesNode,Custom Search Index Definition Nodes Must Contain a Child Node Named indexRules that Has Children,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
IndexSeedProperty,Custom Search Index Definition Nodes Must Not Contain a Property Named seed,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
IndexType,Custom Search Index Definition Nodes Must Use the Index Type lucene,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
java:S1104,Class variable fields should not have public accessibility,Code Smell,Minor,cwe,squid:ClassVariableVisibilityCheck,,,,,,
java:S1182,"Classes that override ""clone"" should be ""Cloneable"" and call ""super.clone()""",Code Smell,Minor,"cert,convention,cwe",squid:S1182,,,,,,
java:S1444,"""public static"" fields should be constant",Code Smell,Minor,"cert,cwe",squid:S1444,,,,,,
java:S1698,"""=="" and ""!="" should not be used when ""equals"" is overridden",Code Smell,Minor,"cert,cwe,suspicious",squid:S1698,,,,,,
java:S1874,"""@Deprecated"" code should not be used",Code Smell,Minor,"cert,cwe,obsolete",squid:CallToDeprecatedMethod,,,,,,
java:S2221,"""Exception"" should not be caught when not required by called methods",Code Smell,Minor,"cwe,error-handling",squid:S2221,,,,,,
java:S2384,Mutable members should not be stored or returned directly,Code Smell,Minor,"cert,cwe,unpredictable",squid:S2384,,,,,,
java:S2386,"Mutable fields should not be ""public static""",Code Smell,Minor,"cert,cwe,unpredictable",squid:S2386,,,,,,
LegacyFoundationComponentUsage,Usage of Legacy Foundation Components is Discouraged,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
OakIndexLocation,Custom Search Index Definition Nodes Must Be Direct Children of /oak:index,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
ReverseReplication,Reverse Replication Agents Should Not Be Used,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
StaticTemplateUsage,Usage of Static Templates is Discouraged in Favor of Editable Templates,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
SupportedRunmode,Only Supported Runmode Names and Ordering Should Be Used,Code Smell,Minor,"aem,cloud-service-compatibility",,,,,,,
AEM Rules:AEM-15,Usage of 'synchronized' keyword should be avoided if possible.,Code Smell,Info,"multi-threading,performance",,,,,,,
java:S1135,"Track uses of ""TODO"" tags",Code Smell,Info,cwe,squid:S1135,,,,,,
