Rule Key,Description,Type,Severity,Tags
ReverseReplication,Reverse Replication Agents Should Not Be Used,Code Smell,Minor,"aem,cloud-service-compatibility"
CloudServiceIncompatibleWorkflowProcess,Usage of Cloud Service Incompatible Workflow Processes,Code Smell,Minor,"aem,cloud-service-compatibility"
StaticTemplateUsage,Usage of Static Templates is Discouraged in Favor of Editable Templates,Code Smell,Minor,"aem,cloud-service-compatibility"
LegacyFoundationComponentUsage,Usage of Legacy Foundation Components is Discouraged,Code Smell,Minor,"aem,cloud-service-compatibility"
SupportedRunmode,Only Supported Runmode Names and Ordering Should Be Used,Code Smell,Minor,"aem,cloud-service-compatibility"
OakIndexLocation,Custom Search Index Definition Nodes Must Be Direct Children of /oak:index,Code Smell,Minor,"aem,cloud-service-compatibility"
IndexCompatVersion,Custom Search Index Definition Nodes Must Have a compatVersion of 2,Code Smell,Minor,"aem,cloud-service-compatibility"
IndexDescendantNodeType,Descendent Nodes of Custom Search Index Definition Nodes Must Be Of Type nt:unstructured,Code Smell,Minor,"aem,cloud-service-compatibility"
IndexRulesNode,Custom Search Index Definition Nodes Must Contain a Child Node Named indexRules that Has Children,Code Smell,Minor,"aem,cloud-service-compatibility"
IndexName,Custom Search Index Definition Nodes Must Follow Naming Conventions,Code Smell,Minor,"aem,cloud-service-compatibility"
IndexType,Custom Search Index Definition Nodes Must Use the Index Type lucene,Code Smell,Minor,"aem,cloud-service-compatibility"
IndexSeedProperty,Custom Search Index Definition Nodes Must Not Contain a Property Named seed,Code Smell,Minor,"aem,cloud-service-compatibility"
IndexReindexProperty,Custom Search Index Definition Nodes Must Not Contain a Property Named reindex,Code Smell,Minor,"aem,cloud-service-compatibility"
AEM Rules:AEM-15,Usage of 'synchronized' keyword should be avoided if possible.,Code Smell,Info,"multi-threading,performance"
squid:S1135,"Track uses of ""TODO"" tags",Code Smell,Info,cwe
